country_code,country_name,issuer,instrument_type,isin,coupon_percent,maturity_date,outstanding_eur,source_name,source_url,data_status
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25034,2.500000,2029-10-11,24000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102622,2.100000,2029-11-15,26000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001135143,6.250000,2030-01-04,11750000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102499,0.000000,2030-02-15,28000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001030559,0.500000,2030-04-15,22150000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25042,2.400000,2030-04-18,32000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001030708,0.000000,2030-08-15,11000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102507,0.000000,2030-08-15,33500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25059,2.200000,2030-10-10,31000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE000BU27006,2.400000,2030-11-15,28000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001135176,5.500000,2031-01-04,21500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102531,0.000000,2031-02-15,28000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25067,2.500000,2031-04-16,36000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001030732,0.000000,2031-08-15,9500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BUND,DE0001102564,0.000000,2031-08-15,32000000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
DE,Germany,Federal Republic of Germany,BOBL,DE000BU25075,2.900000,2031-10-08,17500000000.00,German Finance Agency,https://www.deutsche-finanzagentur.de/bundeswertpapiere/handel/umlaufende-bundeswertpapiere,OFFICIAL_REFERENCE
