country_code,country_name,issuer,instrument_type,isin,description,annual_coupon_percent,periodic_coupon_percent,coupon_frequency,accrual_start_date,first_coupon_date,maturity_date,day_count_convention,currency,source_name,data_status
IT,Italy,Republic of Italy,BTP,IT0005689994,Btp Fx 3.15% Mar33 Eur,3.150000,1.575000,Semestrale,2026-01-15,2026-01-15,2033-03-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005518128,"Btp Tf 4,40% Mg33 Eur",,2.200000,Semestrale,2022-11-01,2022-11-01,2033-05-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005704868,Btp Fx 3.3% Jun33 Eur,3.300000,1.650000,Semestrale,2026-04-15,2026-04-15,2033-06-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005240350,"Btp Tf 2,45% St33 Eur",,1.225000,Semestrale,2016-09-01,2016-09-01,2033-09-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005722845,Btp Fx 3.35% Sep33 Eur,3.350000,0.564400,Semestrale,2026-07-15,2026-07-15,2033-09-15,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005544082,"Btp Tf 4,35% Nv33 Eur",,2.175000,Semestrale,2023-05-02,2023-05-02,2033-11-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005466351,Btp Futura Nv33 Eur,,0.675000,Semestrale,2021-11-16,2021-11-16,2033-11-16,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005560948,"Btp Tf 4,2% Mz34 Eur",,2.100000,Semestrale,2023-09-01,2023-09-01,2034-03-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005584856,Btp Fx 3.85% Jul34 Eur,3.850000,1.925000,Semestrale,2024-03-01,2024-03-01,2034-07-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0003535157,Btp-1ag34 5%,,2.500000,Semestrale,2003-08-01,2003-08-01,2034-08-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005607970,Btp Fx 3.85% Feb35 Eur,3.850000,1.925000,Semestrale,2024-08-01,2024-08-01,2035-02-01,ACT/ACT (ICMA),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005358806,"Btp Tf 3,35% Mz35 Eur",,1.675000,Semestrale,2018-09-01,2018-09-01,2035-03-01,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
IT,Italy,Republic of Italy,BTP,IT0005508590,Btpgreen 4%Ap35eur,,2.000000,Semestrale,2022-04-30,2022-04-30,2035-04-30,ACT/ACT (PERIODIC BASIS),EUR,Borsa Italiana MOT,PUBLIC_REFERENCE
